-500, 16, 21, -5
-400, 36541, 36546, -5
-300, 73066, 73070, -4
-200, 109591, 109594, -3
-100, 146116, 146118, -2
0, 0, 0, 0
100, 218801, 218802, -1
200, 255326, 255326, 0
300, 291851, 291850, 1
400, 328376, 328375, 1
500, 364901, 364899, 2
600, 401426, 401423, 3
700, 437951, 437947, 4
800, 474476, 474472, 4
900, 511001, 510996, 5
1000, 547526, 547520, 6
1100, 584051, 584044, 7
1200, 620576, 620569, 7
1300, 657101, 657093, 8
1400, 693626, 693617, 9
1500, 730151, 730141, 10
1600, 766676, 766666, 10
1700, 803201, 803190, 11
1800, 839726, 839714, 12
1900, 876251, 876238, 13
2000, 912776, 912763, 13
2100, 949301, 949287, 14
